,Category,Item_Description_PREPROCESSED
4239,Labour,Contingent Labor Temp Labor Corporate Services Flow Lab Inc Contingent Labor Temp Labor Human Resources
4240,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Rini Rego Supermarkets Inc Ground Transportation Miscellaneous Company Car Field Only Sep
4241,Advertising,Prototype and Comp Production Packaging Design SMAP Cummins Engine Inc Nov Artworking Typesetting Production
4242,Property Services,Real Estate Store Management Lease Rent Base Rent Boise Cascade Corp
4243,Property Services,Store Management Lease Rent Cabe Inc Real Estate Base Rent
4244,Property Services,Corporate Services Building and Property Insurance Commercial Insurance Building and Property Insurance Conolog Corp
4245,Property Services,Amerco Building and Property Insurance Building and Property Insurance Commercial Insurance Corporate Services
4246,Property Services,Bancwest Corp Mar Store Management Real Estate Lease Rent Base Rent
4247,Advertising,National Advertising Media Buy Traditional Outdoor Out Home Chem Nut Inc SMAP
4248,Advertising,SMAP Direct Mail Boston Inc Printed Collateral Post Card Mailer
4249,Property Services,Store Construction Final Site Clean General Contractor General Requirements Dollar General Corp
4250,Property Services,Arabian American Development Final Site Clean Aug General Requirements General Contractor Store Construction
4251,Property Services,Arabian American Development Final Site Clean General Requirements General Contractor Store Construction
4252,Property Services,Facility Construction General Requirements Flightsafety International Inc General Contractor Final Site Clean
4253,Property Services,Store Management Base Rent Real Estate Lease Rent Ddl Electronics Inc
4254,Advertising,Prototype and Comp Production Packaging Design SMAP Champion Parts Inc Artworking Typesetting Production
4255,Property Services,Real Estate Store Management Lease Rent Base Rent Forchheimer Paul Inc
4256,Property Services,Building and Property Insurance Commercial Insurance Brother Industries Ltd Adr Corporate Services Building and Property Insurance
4257,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Alza Corp Travel and Entertainment
4258,Property Services,Corporate Services Building and Property Insurance Commercial Insurance Building and Property Insurance Avery Dennison Corp
4259,Labour,Cray Research Inc Contingent Labor Temp Labor Contingent Labor Temp Labor Corporate Services Human Resources
4260,Advertising,Champion Parts Inc Prototype and Comp Production Packaging Design Dec Artworking Typesetting Production SMAP
4261,Human Resources,Corporate Services Workmen Insurance Commercial Insurance Workmen Insurance Fpa Corp
4262,Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Corning Inc Corporate Services
4263,Property Services,Store Construction Final Site Clean General Contractor General Requirements Apr Colonial Trust Iii
4264,Passenger Road Transportation,Corning Inc Auto Leasing May Auto Leasing and Maintenance Other Corporate Services Corporate Services
4265,Human Resources,Essex Group Inc Retirement and Pension Funds Aug Benefits Human Resources Corporate Services
4266,Logistics,Alabama Power Freight Forwarders Services Other Transportation Services Logistics Supply Chain
4267,Passenger Road Transportation,Ground Transportation Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Akorn Inc Sep Travel and Entertainment
4268,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Nov Brother Industries Ltd Adr
4269,Property Services,Store Construction Store Fixtures Fixtures Store Fixtures Current Income Shares Inc
4270,Advertising,Production SMAP Artworking Typesetting Prototype and Comp Production Packaging Design Aquila Distributors Inc
4271,Passenger Road Transportation,Brother Industries Ltd Adr Miscellaneous Company Car Field Only Jun Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
4272,Agency Fee,SMAP Other Agency Production Agency Fees Commissions Cherry Corp
4273,Passenger Road Transportation,Daly John Auto Passenger Road Transportation Repair and Maintenance Auto Leasing and Maintenance Corporate Services Other Corporate Services
4274,Passenger Road Transportation,Auto Leasing Corporate Services Butler Manufacturing Auto Leasing and Maintenance Other Corporate Services
4275,Passenger Road Transportation,Other Corporate Services Corporate Services Auto Leasing and Maintenance Auto Leasing Butler Manufacturing
4276,Property Services,Lease Rent Real Estate Frequency Electronics Inc Store Management Base Rent
4277,Passenger Road Transportation,Brother Industries Ltd Adr Miscellaneous Company Car Field Only Jun Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
4278,Advertising,SMAP Post Card Mailer Printed Collateral Direct Mail Boston Inc
4279,Passenger Road Transportation,Corporate Services Auto Leasing Other Corporate Services Auto Leasing and Maintenance Corning Inc
4280,Advertising,Post Card Mailer SMAP Ball Corp Printed Collateral Direct Mail
4281,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Brother Industries Ltd Adr
4282,Advertising,National Advertising SMAP Media Buy Traditional Magazines Nov Eac Industries Inc
4283,Property Services,Aug Boise Cascade Corp Base Rent Lease Rent Store Management Real Estate
4284,Passenger Road Transportation,Auto Leasing Corporate Services Corning Inc Auto Leasing and Maintenance Other Corporate Services
4285,Property Services,Store Construction General Requirements Colonial Trust Iii General Contractor Final Site Clean
4286,Advertising,SMAP Messaging Media Buy Digital Paid Media Media Buy Mobile Mail Direct Aristar Inc
4287,Property Services,Balfour Investors Inc Store Management Real Estate Lease Rent Base Rent
4288,Property Services,Allcity Insurance Store Construction General Contractor General Requirements Final Site Clean
4289,Property Services,Dillard Department Stores Inc Store Management Real Estate Lease Rent Base Rent
4290,Property Services,Store Management Base Rent Real Estate Lease Rent First West Virginia Bancorp Inc
4291,Property Services,All American Assurance Base Rent Lease Rent Store Management Real Estate
4292,Property Services,General Requirements General Contractor Alexanders Inc Store Construction Final Site Clean
4293,Advertising,Talent Artists Models for Trade Show SMAP Blessings Corp Trade Show Expenses Events and Promotions
4294,Labour,Human Resources Corporate Services Contingent Labor Temp Labor Contingent Labor Temp Labor Crested Corp
4295,Passenger Road Transportation,Fortune National Corp Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Travel and Entertainment Ground Transportation
4296,Advertising,Artworking Typesetting Production Becton Dickinson SMAP Prototype and Comp Production Packaging Design
4297,Advertising,Printed Collateral Direct Mail Post Card Mailer Bellamah Neuhauser Barrett Inc SMAP
4298,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Fort Howard Corp
4299,Property Services,Eisai Ltd Adr Store Construction Fixtures Store Fixtures Store Fixtures
4300,Property Services,General Contractor Store Construction General Requirements Final Site Clean American Pad Paper
4301,Property Services,General Contractor General Requirements Final Site Clean American Pad Paper Aug Store Construction
4302,Property Services,Feldt Manufacturing Inc Store Management Real Estate Lease Rent Base Rent
4303,Passenger Road Transportation,Auto Leasing Corporate Services Butler Manufacturing Auto Leasing and Maintenance Other Corporate Services
4304,Passenger Road Transportation,Auto Leasing Corporate Services Corning Inc Auto Leasing and Maintenance Other Corporate Services
4305,Property Services,General Requirements General Contractor Invesco Advisers Inc Store Construction Final Site Clean
4306,Property Services,Bancwest Corp Store Management Real Estate Lease Rent Base Rent
4307,Property Services,Metric Capital Corp Building and Property Insurance Building and Property Insurance Corporate Services Commercial Insurance
4308,Property Services,General Contractor General Requirements Final Site Clean American Pad Paper Store Construction
4309,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car Field Only Ground Transportation Miscellaneous Company Car Field Only Texas New Mexico Power
4310,Property Services,Final Site Clean Store Construction Capital Southwest Corp General Contractor General Requirements
4311,Passenger Road Transportation,Texas New Mexico Power Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Ground Transportation Travel and Entertainment
4312,Advertising,Digital Paid Media Media Buy Mobile Mail Direct Messaging Media Buy Aristar Inc SMAP
4313,Logistics,Supply Chain Transportation Services Alabama Power Logistics Freight Forwarders Services Other
4314,Property Services,Real Estate Lease Rent Base Rent Esmark Inc Store Management
4315,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car Field Only Miscellaneous Company Car Field Only Brother Industries Ltd Adr
4316,Property Services,Alexanders Inc Store Construction General Contractor General Requirements Final Site Clean
4317,Advertising,Prototype and Comp Production Packaging Design SMAP Brokerage Inc Production Artworking Typesetting
4318,Property Services,Store Management Lease Rent Fairchild Industries Inc Real Estate Base Rent Dec
4319,Passenger Road Transportation,Butler Manufacturing Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Leasing
4320,Agency Fee,Other Agency SMAP Aig Sunamerica Life Assurance Production Agency Fees Commissions
