,Category,Item_Description,Item_Description_PREPROCESSED
4764,Labour,Corporate Services Contingent Labor/Temp Labor Clary Corp Human Resources Contingent Labor/Temp Labor 2008-Nov ,corporate services contingent labor temp labor clary corp human resources contingent labor temp labor
4765,Property Services,Dravo Corp Final Site Clean Up Mar 2019 General Requirements General Contractor Store Construction,dravo corp final site clean mar general requirements general contractor store construction
4766,Property Services,General Contractor General Requirements Final Site Clean Up Erly Industries Inc Nov-2013 Store Construction,general contractor general requirements final site clean erly industries inc store construction
4767,Property Services,Real Estate Lease/Rent Base Rent Baldwin & Lyons Inc 2013Nov Store Management,real estate lease rent base rent baldwin lyons inc store management
4768,Property Services,Store Management Lease/Rent Bancwest Corp/Hi Real Estate Base Rent 2007Jun,store management lease rent bancwest corp real estate base rent
4769,Advertising,Production Artworking/Typesetting Prototype and Comp Production/Packaging Design Froley Revy Investment Co Inc 2011Jul SMAP,production artworking typesetting prototype and comp production packaging design froley revy investment inc smap
4770,Property Services,Real Estate Store Management Lease/Rent Base Rent 2011-Jun  Ifrb Corp,real estate store management lease rent base rent ifrb corp
4771,Property Services,Chicago Milwaukee Corp Sep-2007 Store Management Real Estate Lease/Rent Base Rent,chicago milwaukee corp store management real estate lease rent base rent
4772,Advertising,Aquila Distributors Inc                                 /Bd Prototype and Comp Production/Packaging Design Dec2001 Artworking/Typesetting Production SMAP,aquila distributors inc prototype and comp production packaging design artworking typesetting production smap
4773,Passenger Road Transportation,Auto Leasing Corporate Services Butler Manufacturing Co 2014-Apr  Auto Leasing and Maintenance Other Corporate Services,auto leasing corporate services butler manufacturing auto leasing and maintenance other corporate services
4774,Logistics,Heritage Bancorp Inc Parcel/Postage/Courier 2019Nov Transportation Services Logistics Supply Chain,heritage bancorp inc parcel postage courier transportation services logistics supply chain
4775,Labour,Cousins Properties Inc Contingent Labor/Temp Labor 2001Feb Contingent Labor/Temp Labor Human Resources Corporate Services,cousins properties inc contingent labor temp labor contingent labor temp labor human resources corporate services
4776,Passenger Road Transportation,Miscellaneous Company Car (Field Only) Travel and Entertainment Brother Industries Ltd/Adr/ 2010-Aug  Miscellaneous Company Car (Field Only) Ground Transportation,miscellaneous company car field only travel and entertainment brother industries ltd adr miscellaneous company car field only ground transportation
4777,Advertising,"SMAP Talent, Artists & Models for Trade Show Events and Promotions Trade Show Expenses 2002Jan First Commerce Corp /La/",smap talent artists models for trade show events and promotions trade show expenses first commerce corp
4778,Advertising,SMAP Outdoor/Out of Home National Advertising Media Buy - Traditional Jan2015 Cgg Holding (U.S.) Inc.,smap outdoor out home national advertising media buy traditional cgg holding inc
4779,Passenger Road Transportation,Corning Inc /Ny Oct 2009 Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Leasing,corning inc oct corporate services other corporate services auto leasing and maintenance auto leasing
4780,Agency Fee,Events and Promotions SMAP Agency Fees & Commissions Public Relations Agency Nov2007 Chicago Title & Trust Co,events and promotions smap agency fees commissions public relations agency chicago title trust
4781,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) 2005Jan Akzo Nobel Nv,travel and entertainment miscellaneous company car field only ground transportation miscellaneous company car field only akzo nobel
4782,Property Services,Base Rent 2017Nov Store Management Allegheny Energy Inc Real Estate Lease/Rent,base rent store management allegheny energy inc real estate lease rent
4783,Passenger Road Transportation,Other Corporate Services Auto Leasing and Maintenance Auto Passenger Road Transportation Repair and Maintenance Daly John J 2003-Jul  Corporate Services,other corporate services auto leasing and maintenance auto passenger road transportation repair and maintenance daly john corporate services
4784,Passenger Road Transportation,Akzo Nobel Nv Feb 2006 Travel and Entertainment Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only),akzo nobel feb travel and entertainment ground transportation miscellaneous company car field only miscellaneous company car field only
4785,Property Services,Bartlett & Co /Oh/                                      /Adv Base Rent Apr-2010 Lease/Rent Real Estate Store Management,bartlett adv base rent lease rent real estate store management
4786,Property Services,"Store Management Base Rent Real Estate Lease/Rent Mar2017 Wm. V. Frankel & Co., Incorporated",store management base rent real estate lease rent frankel incorporated
4787,Property Services,General Contractor Store Construction General Requirements Final Site Clean Up 2011May Westford Group Inc,general contractor store construction general requirements final site clean westford group inc
4788,Passenger Road Transportation,Travel and Entertainment Miscellaneous Company Car (Field Only) Texas New Mexico Power Co Ground Transportation Miscellaneous Company Car (Field Only) Jul2008,travel and entertainment miscellaneous company car field only texas new mexico power ground transportation miscellaneous company car field only
4789,Advertising,Printed Collateral SMAP Direct Mail Post Card/Mailer 2007-Jun  Charter Communications Inc,printed collateral smap direct mail post card mailer charter communications inc
4790,Property Services,General Contractor General Requirements Final Site Clean Up Deposit Guaranty Corp Dec2015 Store Construction,general contractor general requirements final site clean deposit guaranty corp store construction
4791,Passenger Road Transportation,2016Jun Alco Standard Corp Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,alco standard corp miscellaneous company car field only miscellaneous company car field only travel and entertainment ground transportation
4792,Passenger Road Transportation,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2000Apr Fortune National Corp,ground transportation travel and entertainment miscellaneous company car field only miscellaneous company car field only fortune national corp
4793,Passenger Road Transportation,Auto Leasing Nov-2000 Corporate Services Corning Inc /Ny Other Corporate Services Auto Leasing and Maintenance,auto leasing corporate services corning inc other corporate services auto leasing and maintenance
