Category,Item_Description,Item_Description_PREPROCESSED
Passenger Road Transportation,Company Car (Field Only) Travel and Entertainment Air Products & Chemicals Inc /De/ 2006Oct Company Car (Field Only) Ground Transportation,company car field only travel and entertainment air products chemicals inc company car field only ground transportation
Advertising,Prototype and Comp Production/Packaging Design 2010-Dec  SMAP Champion Parts Inc Production Artworking/Typesetting,prototype and comp production packaging design smap champion parts inc production artworking typesetting
Passenger Road Transportation,Company Car (Field Only) Ground Transportation 2004Jun Akzo Nobel Nv Travel and Entertainment Company Car (Field Only),company car field only ground transportation akzo nobel travel and entertainment company car field only
Advertising,Paid Social - Content Production with Influencer SMAP Diebold Inc Dec-2004 Media Buy - Social Digital Paid Media,paid social content production with influencer smap diebold inc media buy social digital paid media
Property Services,Base Rent Store Management Fidelity Management & Research Co/Ma/ 2004-Nov  Lease/Rent Real Estate,base rent store management fidelity management research lease rent real estate
Passenger Road Transportation,Company Car (Field Only) Aug 2012 Travel and Entertainment Fortune National Corp Ground Transportation Company Car (Field Only),company car field only aug travel and entertainment fortune national corp ground transportation company car field only
Labour,Contingent Labor/Temp Labor Corporate Services Flow Lab  Inc Apr-2014 Contingent Labor/Temp Labor Human Resources,contingent labor temp labor corporate services flow lab inc contingent labor temp labor human resources
Passenger Road Transportation,Travel and Entertainment Company Car (Field Only) Rini Rego Supermarkets Inc Ground Transportation Company Car (Field Only) Sep 2003,travel and entertainment company car field only rini rego supermarkets inc ground transportation company car field only sep
Advertising,Prototype and Comp Production/Packaging Design SMAP Cummins Engine Co Inc Nov 2014 Artworking/Typesetting Production,prototype and comp production packaging design smap cummins engine inc nov artworking typesetting production
Property Services,Real Estate Store Management Lease/Rent Base Rent Jul2013 Boise Cascade Corp,real estate store management lease rent base rent boise cascade corp
Property Services,Store Management Lease/Rent Cabe W T & Co Inc                                       /Bd Real Estate Base Rent 2005-Jul ,store management lease rent cabe inc real estate base rent
Property Services,Corporate Services Building and Property Insurance Commercial Insurance Building and Property Insurance Jul2007 Conolog Corp,corporate services building and property insurance commercial insurance building and property insurance conolog corp
Property Services,Amerco /Nv/ Building and Property Insurance Jun2005 Building and Property Insurance Commercial Insurance Corporate Services,amerco building and property insurance building and property insurance commercial insurance corporate services
Property Services,Bancwest Corp/Hi Mar 2019 Store Management Real Estate Lease/Rent Base Rent,bancwest corp mar store management real estate lease rent base rent
Advertising,National Advertising Media Buy - Traditional Outdoor/Out of Home Chem Nut Inc Apr-2008 SMAP,national advertising media buy traditional outdoor out home chem nut inc smap
Advertising,SMAP Direct Mail Boston Co Inc Printed Collateral Post Card/Mailer Feb-2017,smap direct mail boston inc printed collateral post card mailer
Property Services,Store Construction Final Site Clean Up General Contractor General Requirements 2018Feb Dollar General Corp,store construction final site clean general contractor general requirements dollar general corp
Property Services,Arabian American Development Co Final Site Clean Up Aug 2019 General Requirements General Contractor Store Construction,arabian american development final site clean aug general requirements general contractor store construction
Property Services,Arabian American Development Co Final Site Clean Up 2003May General Requirements General Contractor Store Construction,arabian american development final site clean general requirements general contractor store construction
Property Services,Facility Construction General Requirements Flightsafety International Inc General Contractor Final Site Clean Up 2012Nov,facility construction general requirements flightsafety international inc general contractor final site clean
Property Services,Store Management Base Rent Real Estate Lease/Rent 2004-Dec  Ddl Electronics Inc,store management base rent real estate lease rent ddl electronics inc
Advertising,Prototype and Comp Production/Packaging Design SMAP Champion Parts Inc Jun-2008 Artworking/Typesetting Production,prototype and comp production packaging design smap champion parts inc artworking typesetting production
Property Services,Real Estate Store Management Lease/Rent Base Rent Sep-2018 Forchheimer Paul L & Co Inc  /Bd/                     /B/Bd,real estate store management lease rent base rent forchheimer paul inc
